DateTime,Température (°C),Humidité (%),Luminosité (lux)
2023-10-01 00:00,18,70,5
2023-10-01 01:00,17,72,5
2023-10-01 02:00,17,73,5
2023-10-01 03:00,16,75,5
2023-10-01 04:00,16,76,5
2023-10-01 05:00,16,74,10
2023-10-01 06:00,17,72,1000
2023-10-01 07:00,19,70,3000
2023-10-01 08:00,21,68,7000
2023-10-01 09:00,23,65,12000
2023-10-01 10:00,24,63,20000
2023-10-01 11:00,25,61,25000
2023-10-01 12:00,26,60,30000
2023-10-01 13:00,27,58,30000
2023-10-01 14:00,28,55,25000
2023-10-01 15:00,28,55,20000
2023-10-01 16:00,27,56,15000
2023-10-01 17:00,26,58,10000
2023-10-01 18:00,24,60,5000
2023-10-01 19:00,22,62,500
2023-10-01 20:00,20,65,100
2023-10-01 21:00,19,68,50
2023-10-01 22:00,18,70,10
2023-10-01 23:00,17,72,5
2023-10-02 00:00,18,70,3
2023-10-02 01:00,17,72,7
2023-10-02 02:00,17,73,5
2023-10-02 03:00,16,75,2
2023-10-02 04:00,16,76,4
2023-10-02 05:00,16,74,15
2023-10-02 06:00,17,72,1023
2023-10-02 07:00,19,70,3245
2023-10-02 08:00,21,68,7589
2023-10-02 09:00,23,65,11834
2023-10-02 10:00,24,63,20312
2023-10-02 11:00,25,61,24789
2023-10-02 12:00,26,60,29654
2023-10-02 13:00,27,58,28874
2023-10-02 14:00,28,55,24321
2023-10-02 15:00,28,55,19567
2023-10-02 16:00,27,56,14032
2023-10-02 17:00,26,58,9250
2023-10-02 18:00,24,60,4873
2023-10-02 19:00,22,62,453
2023-10-02 20:00,20,65,120
2023-10-02 21:00,19,68,78
2023-10-02 22:00,18,70,12
2023-10-02 23:00,17,72,6
2023-10-03 00:00,19,68,2
2023-10-03 01:00,18,70,6
2023-10-03 02:00,17,71,8
2023-10-03 03:00,17,74,4
2023-10-03 04:00,16,75,9
2023-10-03 05:00,16,73,18
2023-10-03 06:00,17,71,1275
2023-10-03 07:00,20,69,3540
2023-10-03 08:00,22,67,8214
2023-10-03 09:00,23,64,13450
2023-10-03 10:00,24,62,21532
2023-10-03 11:00,25,59,27865
2023-10-03 12:00,27,57,31540
2023-10-03 13:00,28,55,29034
2023-10-03 14:00,29,54,23210
2023-10-03 15:00,30,52,18432
2023-10-03 16:00,29,54,12345
2023-10-03 17:00,27,56,8356
2023-10-03 18:00,25,58,4120
2023-10-03 19:00,23,60,624
2023-10-03 20:00,21,62,215
2023-10-03 21:00,20,64,85
2023-10-03 22:00,19,66,13
2023-10-03 23:00,18,68,7
2023-10-04 00:00,17,72,2
2023-10-04 01:00,16,74,3
2023-10-04 02:00,15,76,2
2023-10-04 03:00,15,78,4
2023-10-04 04:00,14,79,3
2023-10-04 05:00,15,77,12
2023-10-04 06:00,16,75,850
2023-10-04 07:00,18,70,2400
2023-10-04 08:00,21,67,4600
2023-10-04 09:00,22,64,7500
2023-10-04 10:00,23,63,12000
2023-10-04 11:00,24,60,15000
2023-10-04 12:00,25,58,17000
2023-10-04 13:00,26,56,16000
2023-10-04 14:00,27,55,14000
2023-10-04 15:00,28,54,11000
2023-10-04 16:00,27,56,7200
2023-10-04 17:00,25,58,4800
2023-10-04 18:00,24,60,2500
2023-10-04 19:00,23,61,350
2023-10-04 20:00,21,63,120
2023-10-04 21:00,20,65,60
2023-10-04 22:00,19,67,10
2023-10-04 23:00,18,70,5
2023-10-05 00:00,12,80,2
2023-10-05 01:00,11,82,4
2023-10-05 02:00,10,85,3
2023-10-05 03:00,10,87,5
2023-10-05 04:00,9,88,8
2023-10-05 05:00,9,86,50
2023-10-05 06:00,10,84,3200
2023-10-05 07:00,11,81,8500
2023-10-05 08:00,14,79,15000
2023-10-05 09:00,15,75,23000
2023-10-05 10:00,17,72,32000
2023-10-05 11:00,18,70,38000
2023-10-05 12:00,19,67,40000
2023-10-05 13:00,20,66,39500
2023-10-05 14:00,21,65,36000
2023-10-05 15:00,20,67,28000
2023-10-05 16:00,18,69,20000
2023-10-05 17:00,17,72,12000
2023-10-05 18:00,15,75,6500
2023-10-05 19:00,14,78,1200
2023-10-05 20:00,13,80,300
2023-10-05 21:00,12,82,90
2023-10-05 22:00,12,83,12
2023-10-05 23:00,11,84,6
2023-10-06 00:00,15,70,1
2023-10-06 01:00,14,72,2
2023-10-06 02:00,13,75,1
2023-10-06 03:00,13,76,3
2023-10-06 04:00,12,77,2
2023-10-06 05:00,13,75,8
2023-10-06 06:00,15,72,500
2023-10-06 07:00,17,68,1200
2023-10-06 08:00,19,65,2000
2023-10-06 09:00,21,62,3200
2023-10-06 10:00,23,60,4500
2023-10-06 11:00,24,58,5200
2023-10-06 12:00,25,57,4800
2023-10-06 13:00,26,55,4000
2023-10-06 14:00,27,54,3500
2023-10-06 15:00,28,53,2700
2023-10-06 16:00,27,55,1500
2023-10-06 17:00,25,58,800
2023-10-06 18:00,24,60,400
2023-10-06 19:00,23,62,50
2023-10-06 20:00,21,64,20
2023-10-06 21:00,20,66,10
2023-10-06 22:00,19,69,5
2023-10-06 23:00,18,71,2
2023-10-06 00:00,27,65,3
2023-10-06 01:00,26,68,5
2023-10-06 02:00,25,70,4
2023-10-06 03:00,24,72,6
2023-10-06 04:00,23,73,8
2023-10-06 05:00,24,71,15
2023-10-06 06:00,25,68,300
2023-10-06 07:00,28,65,900
2023-10-06 08:00,30,60,1800
2023-10-06 09:00,32,55,2500
2023-10-06 10:00,34,52,3500
2023-10-06 11:00,36,50,4500
